BSSID,ESSID,RSSI,POSITION_Y,POSITION_X
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,156
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,156
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,156
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-67,119,156
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,157
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,119,157
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,157
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,158
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,158
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,158
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,158
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,158
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,119,159
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,159
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,159
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,160
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-67,119,160
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,160
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-67,119,160
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,161
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,161
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,161
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,161
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,162
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,162
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,162
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,163
0c:d2:b5:31:31:6c,MTNL_31316C_1,-77,119,163
0c:d2:b5:31:31:6c,MTNL_31316C_1,-77,119,163
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,163
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,163
6c:19:8f:d6:a5:46,Pramodgaikwad_act,-91,119,163
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-67,119,164
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,164
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,164
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,165
0c:d2:b5:31:31:6c,MTNL_31316C_1,-77,119,165
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,165
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,165
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,165
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,165
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,166
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,119,166
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,119,166
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,167
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,167
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,167
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-63,119,167
6c:19:8f:d6:a5:46,Pramodgaikwad_act,-89,119,167
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,167
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,168
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,168
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,168
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,168
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,169
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,169
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,169
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-65,119,169
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,169
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,119,169
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,119,169
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,169
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-63,119,168
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,167
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,167
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,167
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,166
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,166
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,165
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,165
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,165
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,165
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,164
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,164
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,163
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,163
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,163
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,163
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,163
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,163
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,163
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,162
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,119,161
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,119,161
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,161
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,161
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,161
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,160
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,160
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,159
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,159
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,159
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,158
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,158
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,158
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,158
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,157
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,157
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,157
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,157
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,156
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,156
18:0f:76:c6:6c:a2,TUJHE KYA,-87,119,156
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,156
6c:19:8f:d6:a5:46,Pramodgaikwad_act,-91,119,155
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,155
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,155
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,119,154
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,154
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,154
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,154
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,153
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,153
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,152
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,119,152
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,152
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,151
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,151
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,151
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,150
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,150
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,150
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,149
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,149
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,149
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,148
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,148
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,148
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,148
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,147
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,146
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,146
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,146
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,146
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,145
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,145
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,144
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,144
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,144
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,144
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,143
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,119,143
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,142
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,142
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,141
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,141
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,140
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,140
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,140
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,119,140
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,119,139
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,139
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,139
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,139
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,139
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,138
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,138
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,138
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,137
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,119,137
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,137
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,136
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,136
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,135
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,135
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,119,135
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,135
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,135
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,134
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,134
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,119,134
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,133
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,133
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,133
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,133
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,133
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,132
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,132
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,119,132
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,132
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,131
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,131
0c:d2:b5:31:31:6c,MTNL_31316C_1,-65,119,130
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,130
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,129
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,129
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,119,129
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,119,128
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,119,128
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,128
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,127
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,127
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,119,126
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,119,126
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,126
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,126
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,125
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,125
0c:d2:b5:31:31:6c,MTNL_31316C_1,-65,119,124
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,124
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,124
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,124
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,123
0c:d2:b5:31:31:6c,MTNL_31316C_1,-65,119,123
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,119,122
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,122
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,122
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,121
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,120
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,120
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,120
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,119,119
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,119
0c:d2:b5:31:31:6c,MTNL_31316C_1,-65,119,118
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,118
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,118
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,118
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,117
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,117
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,117
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,116
0c:d2:b5:31:31:6c,MTNL_31316C_1,-65,119,115
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,115
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,115
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,114
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,114
0c:d2:b5:31:31:6c,MTNL_31316C_1,-65,119,113
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,113
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,113
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,112
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,112
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,111
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,111
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,111
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,111
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,110
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,110
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,109
0c:d2:b5:31:31:6c,MTNL_31316C_1,-61,119,109
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,109
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,109
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,109
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,109
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,109
0c:d2:b5:31:31:6c,MTNL_31316C_1,-65,119,108
0c:d2:b5:31:31:6c,MTNL_31316C_1,-65,119,107
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,107
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,107
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,107
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,107
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,106
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,105
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,105
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,104
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,104
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,104
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,104
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,103
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,103
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,102
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,102
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,102
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,102
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,102
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,101
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,101
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,100
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,100
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,100
18:0f:76:c6:6c:a2,TUJHE KYA,-87,119,100
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,99
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,99
0c:d2:b5:31:31:6c,MTNL_31316C_1,-61,119,98
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,98
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,98
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,98
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,97
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,97
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,96
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,96
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,96
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,96
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,96
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,96
0c:d2:b5:31:31:6c,MTNL_31316C_1,-65,119,95
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,95
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,94
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,94
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,94
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,94
0c:d2:b5:31:31:6c,MTNL_31316C_1,-61,119,93
0c:d2:b5:31:31:6c,MTNL_31316C_1,-61,119,93
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,92
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,92
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,92
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,91
18:0f:76:c6:6c:a2,TUJHE KYA,-79,119,91
18:0f:76:c6:6c:a2,TUJHE KYA,-83,119,90
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,90
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,90
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,90
0c:d2:b5:31:31:6c,MTNL_31316C_1,-61,119,89
0c:d2:b5:31:31:6c,MTNL_31316C_1,-61,119,89
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,89
18:0f:76:c6:6c:a2,TUJHE KYA,-81,119,89
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-55,119,88
0c:d2:b5:31:31:6c,MTNL_31316C_1,-63,119,87
0c:d2:b5:31:31:6c,MTNL_31316C_1,-65,119,87
18:0f:76:c6:6c:a2,TUJHE KYA,-85,119,87
98:de:d0:a1:28:3a,Soham,-91,119,86
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-57,119,86
